編號,語言,詞語,轉寫1,轉寫2,翻譯,
PAN30474,原始南島語,*pajay,,,稻,https://acd.clld.org/cognatesets/30474
PAN30494,原始南島語,*kaRaC,,,咬,https://acd.clld.org/cognatesets/30494
PAN30558,原始南島語,*duSa,,,二,https://acd.clld.org/cognatesets/30558
PAN30605,原始南島語,*pijax,,,多少,https://acd.clld.org/cognatesets/30605
PAN30618,原始南島語,*damaR,,,火炬所用之樹脂,https://acd.clld.org/cognatesets/30618
PAN30723,原始南島語,*pitu,,,七,https://acd.clld.org/cognatesets/30723
PAN30739,原始南島語,*Naŋuy,,,游泳,https://acd.clld.org/cognatesets/30739
PAN30753,原始南島語,*telu,,,三,https://acd.clld.org/cognatesets/30753
PAN30815,原始南島語,*paen,,,餌,https://acd.clld.org/cognatesets/30815
PAN30820,原始南島語,*garuC,,,梳子,https://acd.clld.org/cognatesets/30820
PAN30830,原始南島語,*maCa,,,眼睛；焦點,https://acd.clld.org/cognatesets/30830
PAN30925,原始南島語,*kilala,,,認識；知察,https://acd.clld.org/cognatesets/30925
PAN30995,原始南島語,*paNid,,,翅膀,https://acd.clld.org/cognatesets/30995
PAN31164,原始南島語,*baRaŋ,,,肋骨?,https://acd.clld.org/cognatesets/31164
PAN31220,原始南島語,*sapu,,,擦拭；掃,https://acd.clld.org/cognatesets/31220
PAN31383,原始南島語,*wanaN,,,右,https://acd.clld.org/cognatesets/31383
PAN31601,原始南島語,*kaka,,,兄姊,https://acd.clld.org/cognatesets/31601
PAN31635,原始南島語,*kaija,,,何時(過去),https://acd.clld.org/cognatesets/31635
PAN32003,原始南島語,*qalima,,,手,https://acd.clld.org/cognatesets/32003
PAN32371,原始南島語,*Si-,,,穿戴,https://acd.clld.org/cognatesets/32371
PAN32603,原始南島語,*ŋajay,,,唾液,https://acd.clld.org/cognatesets/32603
PAN32879,原始南島語,*paqeju,,,膽囊,https://acd.clld.org/cognatesets/32879
PAN33892,原始南島語,*guCguC,,,抓癢,https://acd.clld.org/cognatesets/33892
PAN33939,原始南島語,*damuq,,,露水,https://acd.clld.org/cognatesets/33939
JPN10,日語,油,あぶら,abura,,
JPN13,日語,大根,ダイコン,daikon,,
JPN16,日語,鉛筆,えんぴつ,enpitsu,,
JPN19,日語,鵞鳥,ガチョウ,gachō,,
JPN22,日語,肥料,ひりょう,hiryō,,
JPN25,日語,ホース,,hōsu,,
JPN28,日語,祈り,いのり,inori,,
JPN31,日語,自動車,じどうしゃ,jidōsha,,
JPN34,日語,汽車,きしゃ,kisha,,
JPN37,日語,靴,くつ,kutsu,,
JPN40,日語,胡瓜,キュウリ,kyūri,,
JPN43,日語,丸,まる,maru,,
JPN46,日語,麦,ムギ,mugi,,
JPN49,日語,日曜日,にちようび,nichiyōbi,,
JPN52,日語,人参,ニンジン,ninjin,,
JPN55,日語,皿,さら,sara,,
JPN58,日語,先生,せんせい,sensei,,
JPN61,日語,写真,しゃしん,shashin,,
JPN64,日語,煙草,タバコ,tabako,,
JPN67,日語,停車場,ていしゃば,teishaba,,
JPN70,日語,テレビ,,terebi,電視,
JPN73,日語,時計,とけい,tokei,,
JPN76,日語,時計草,トケイソウ,tokeisō,,
JPN79,日語,梅,ウメ,ume,,
FRA11,法語,savon,,,肥皂,
ZHO11,華語,冰箱,,,,
SPA11,西班牙語,peso,,,披索,
NAN11,閩語,蕹菜,ìng-tshài,èng-chhài,,
NAN10,閩語,斧頭,póo-thâu,pó͘-thâu,,
NAN13,閩語,豆油,tāu-iû,tāu-iû,,
NAN16,閩語,豆菜,tàu-tshài,tàu-chhài,,
NAN19,閩語,菜頭,tshài-thâu,chhài-thâu,,
NAN22,閩語,大麵,tuā-mī,tōa-mī,,
